gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000101262.2,672,608,802,741,634,698
ENSMUSG00000025986.7,800,682,861,880,883,700
ENSMUSG00000081185.2,79,98,158,124,80,93
ENSMUSG00000100033.2,2437,2241,2939,2696,2633,2553
ENSMUSG00000099627.2,1,1,2,1,1,4
ENSMUSG00000026109.15,71,80,95,58,66,97
ENSMUSG00000099741.2,11,7,7,15,6,9
ENSMUSG00000026107.12,80,70,100,90,103,91
ENSMUSG00000018417.15,4828,4079,5555,5499,5228,4213
ENSMUSG00000072324.5,406,363,425,460,521,517
ENSMUSG00000062939.12,5,12,10,1,3,9
ENSMUSG00000026103.15,3878,2836,4210,4342,4824,2770
ENSMUSG00000002881.15,112,115,169,142,159,120
ENSMUSG00000100007.2,675,532,918,778,717,688
ENSMUSG00000041439.16,129,79,155,120,148,124
ENSMUSG00000041426.13,47,35,51,50,65,45
ENSMUSG00000026098.14,19,14,28,28,18,20
ENSMUSG00000026097.10,138,155,182,176,165,179
ENSMUSG00000026095.16,4,2,2,1,1,1
ENSMUSG00000096141.3,1,2,3,2,5,1
ENSMUSG00000026094.15,57,49,57,88,77,51
ENSMUSG00000042807.16,140,104,146,80,79,92
ENSMUSG00000041303.8,1380,1220,1601,1404,1349,1220
ENSMUSG00000073678.5,123,120,161,189,177,108
ENSMUSG00000052331.15,8,5,6,3,4,6
ENSMUSG00000025982.14,19529,16287,22759,20001,21357,16745
ENSMUSG00000025981.14,19,14,23,16,26,12
ENSMUSG00000025980.15,6196,5741,7571,6556,6171,6311
ENSMUSG00000073676.5,3350,2785,3955,3236,3703,3646
ENSMUSG00000100736.2,2,7,6,8,3,10
ENSMUSG00000089670.2,88,59,102,80,89,101
ENSMUSG00000025979.14,2374,1975,2830,2600,2682,2242
ENSMUSG00000046994.10,15,24,12,21,11,14
ENSMUSG00000100215.2,2842,2361,3399,2625,3043,3589
ENSMUSG00000101945.2,66,60,84,48,59,55
ENSMUSG00000038349.11,162,131,161,31,47,99
ENSMUSG00000038331.16,129,118,176,136,137,99
ENSMUSG00000101129.2,3,6,12,10,9,8
ENSMUSG00000038323.4,109,115,135,110,97,85
ENSMUSG00000048495.17,12,13,12,14,14,5
ENSMUSG00000025971.7,89,89,108,116,112,88
ENSMUSG00000038305.16,1204,1023,1438,1443,1458,1269
ENSMUSG00000054770.17,78,55,109,78,89,66
ENSMUSG00000063558.5,5,9,10,4,14,10
ENSMUSG00000051223.15,13647,11841,15973,14338,14412,12680
ENSMUSG00000026034.18,182,147,218,167,251,172
ENSMUSG00000026035.16,171,168,229,208,222,186
ENSMUSG00000026036.18,35,31,57,41,50,49
ENSMUSG00000026037.15,219,209,291,287,275,250
ENSMUSG00000038174.15,116,77,95,128,126,73
ENSMUSG00000059647.6,59,53,65,62,55,60
ENSMUSG00000026028.13,21,10,24,16,21,27
ENSMUSG00000026027.14,1197,1131,1355,1234,1255,1247
ENSMUSG00000038079.15,40,43,60,42,59,46
ENSMUSG00000026024.15,280,222,291,269,288,228
ENSMUSG00000041075.9,1488,1345,1867,1912,2122,2043
ENSMUSG00000026021.16,3092,2724,3605,3128,3257,3381
ENSMUSG00000026020.10,2816,2383,3401,2928,2897,2674
ENSMUSG00000067336.7,780,648,848,752,859,646
ENSMUSG00000041040.13,134,92,101,95,85,91
ENSMUSG00000026019.16,731,630,867,745,761,700
ENSMUSG00000026017.14,6,3,5,8,12,9
ENSMUSG00000073664.12,106,69,87,100,117,59
ENSMUSG00000049439.14,3,6,5,12,9,7
ENSMUSG00000026782.16,1750,1400,1936,1488,1702,1590
ENSMUSG00000026014.16,185,146,193,182,179,116
ENSMUSG00000081562.2,579,398,635,515,673,753
ENSMUSG00000101188.2,13145,11173,16021,13971,14000,14667
ENSMUSG00000120928.1,3,7,11,15,10,7
ENSMUSG00000082804.4,731,532,743,717,739,867
ENSMUSG00000052062.15,64,38,56,45,60,61
ENSMUSG00000084333.2,1,10,9,7,11,4
ENSMUSG00000025969.16,1690,1523,2025,1632,1870,1745
ENSMUSG00000040865.17,115,83,93,89,150,82
ENSMUSG00000081429.2,26,16,15,17,30,42
ENSMUSG00000084799.9,7,3,3,3,5,6
ENSMUSG00000025968.17,1788,1556,2159,2005,1997,1673
ENSMUSG00000025967.17,1861,1780,2321,2279,2048,2313
ENSMUSG00000081643.2,901,782,1017,836,894,1222
ENSMUSG00000025964.16,95,51,97,88,90,94
ENSMUSG00000025959.14,185,183,237,167,173,162
ENSMUSG00000025958.15,1420,1156,1641,1328,1507,1225
ENSMUSG00000025956.11,56,38,67,50,66,61
ENSMUSG00000070871.11,408,379,492,409,487,451
ENSMUSG00000045005.10,1904,1797,2440,2047,2198,2227
ENSMUSG00000051344.14,112,110,122,147,142,96
ENSMUSG00000084416.4,4806,4786,6499,5079,5261,6380
ENSMUSG00000025950.17,4732,3914,5456,5058,5020,4465
ENSMUSG00000025949.17,997,830,1169,1082,1180,655
ENSMUSG00000100340.2,8,12,10,7,13,6
ENSMUSG00000015222.19,257,199,247,227,180,203
ENSMUSG00000055567.19,19,12,15,2,3,10
ENSMUSG00000026005.16,614,484,702,545,609,562
ENSMUSG00000026004.16,55,41,59,59,64,43
ENSMUSG00000082769.4,1113,1044,1497,1157,1157,1251
ENSMUSG00000094191.2,6,1,1,3,3,4
ENSMUSG00000026000.17,25,23,22,18,23,16
ENSMUSG00000025991.9,49,30,40,39,42,29
ENSMUSG00000062209.16,17,26,28,16,16,16
ENSMUSG00000025997.14,160,159,209,177,187,130
ENSMUSG00000050296.15,32,26,50,79,74,67
ENSMUSG00000026192.14,912,809,1136,914,949,937
ENSMUSG00000026193.16,95608,77072,107643,116692,111949,92109
ENSMUSG00000101834.2,118,96,174,128,148,118
ENSMUSG00000100319.2,561,500,678,609,601,688
ENSMUSG00000059483.6,71,78,76,62,65,65
ENSMUSG00000101496.2,46,47,47,43,45,58
ENSMUSG00000026187.10,2572,2223,3054,2673,2829,2814
ENSMUSG00000039372.6,8,2,8,2,1,3
ENSMUSG00000085812.2,39,23,35,28,29,43
ENSMUSG00000039354.17,4,6,3,6,12,4
ENSMUSG00000046330.11,1876,1540,2211,1851,2222,2732
ENSMUSG00000039323.19,7430,6758,9351,8131,8540,10638
ENSMUSG00000026185.9,522,489,574,502,591,656
ENSMUSG00000055322.17,25,16,23,16,26,17
ENSMUSG00000006304.15,12888,11954,16284,15531,14883,15115
ENSMUSG00000006299.14,809,683,1035,784,816,971
ENSMUSG00000026179.15,399,363,554,437,467,535
ENSMUSG00000006301.18,356,222,368,339,342,342
ENSMUSG00000026176.14,611,569,830,650,600,718
ENSMUSG00000026175.13,952,863,1196,1049,1080,911
ENSMUSG00000033364.14,136,130,166,150,181,120
ENSMUSG00000026174.10,913,925,1222,1045,1146,1158
ENSMUSG00000026135.18,188,167,228,164,157,156
ENSMUSG00000026172.13,144,129,162,150,149,142
ENSMUSG00000026171.13,188,164,212,189,194,229
ENSMUSG00000033276.19,78,74,95,93,82,78
ENSMUSG00000033257.15,416,444,530,400,450,469
ENSMUSG00000033227.8,6,8,9,7,12,22
ENSMUSG00000026167.15,33,18,27,11,16,29
ENSMUSG00000090071.5,72,84,102,39,32,92
ENSMUSG00000055197.5,207,175,248,87,70,167
ENSMUSG00000006546.4,167,123,194,44,48,167
ENSMUSG00000006538.13,194,168,238,320,341,276
ENSMUSG00000033159.15,116,91,159,120,126,126
ENSMUSG00000049339.17,543,460,689,538,545,624
ENSMUSG00000026197.13,146,149,191,142,155,176
ENSMUSG00000026198.16,13,16,17,23,12,19
ENSMUSG00000033124.17,1315,1125,1584,1292,1589,1450
ENSMUSG00000026199.19,14,15,15,10,22,18
ENSMUSG00000026200.14,21,11,22,9,14,21
ENSMUSG00000026201.13,89,70,117,66,72,110
ENSMUSG00000026202.14,367,356,500,185,219,400
ENSMUSG00000026203.17,138,102,157,140,124,175
ENSMUSG00000026204.16,188,235,267,72,74,221
ENSMUSG00000026209.16,63,66,78,83,98,93
ENSMUSG00000026208.10,7,4,11,10,14,11
ENSMUSG00000026207.17,54,56,84,43,65,71
ENSMUSG00000033021.17,135,137,181,140,109,158
ENSMUSG00000033007.16,10,15,11,5,5,10
ENSMUSG00000032997.17,239,216,264,267,310,312
ENSMUSG00000026211.19,87,88,105,82,94,115
ENSMUSG00000051703.15,13,12,10,9,12,17
ENSMUSG00000006576.17,33,26,42,28,32,41
ENSMUSG00000026235.15,263,204,325,230,257,252
ENSMUSG00000032908.10,4,1,1,1,2,2
ENSMUSG00000026245.17,151,147,180,177,196,181
ENSMUSG00000032883.16,1252,1041,1502,1288,1356,1144
ENSMUSG00000099377.2,479,391,577,481,518,460
ENSMUSG00000072978.4,66,35,66,50,81,46
ENSMUSG00000050711.8,129,102,159,63,43,142
ENSMUSG00000054702.15,70,57,88,97,109,54
ENSMUSG00000073643.12,115,85,131,110,139,99
ENSMUSG00000026249.11,43,30,46,23,39,38
ENSMUSG00000067106.7,197,220,265,250,226,278
ENSMUSG00000118883.1,1,1,1,1,2,2
ENSMUSG00000004364.15,9282,8145,11237,9279,9121,8961
ENSMUSG00000038608.16,14,15,13,3,7,6
ENSMUSG00000054976.15,8,6,12,4,5,4
ENSMUSG00000100561.2,3464,3293,4210,3512,3416,4286
ENSMUSG00000055980.3,379,279,424,412,491,373
ENSMUSG00000026142.16,8,5,3,3,3,2
ENSMUSG00000026150.15,1219,1157,1613,1432,1343,1395
ENSMUSG00000026159.14,3972,3500,4615,4192,4310,3630
ENSMUSG00000100432.2,90,71,123,96,99,125
ENSMUSG00000101173.2,2,2,2,2,5,1
ENSMUSG00000026163.18,7,8,12,3,6,12
ENSMUSG00000036766.13,14,23,30,23,22,31
ENSMUSG00000026219.15,10275,9104,12003,11254,10639,8825
ENSMUSG00000026220.7,9,3,7,7,6,5
ENSMUSG00000064281.8,6633,5386,8122,6757,7163,8671
ENSMUSG00000036707.17,1595,1396,2008,2037,1815,1603
ENSMUSG00000026223.16,627,582,694,658,750,773
ENSMUSG00000026229.18,5843,5391,7252,6579,6074,6066
ENSMUSG00000062590.14,176,137,199,184,162,203
ENSMUSG00000026234.13,9203,7954,11242,9170,8934,9158
ENSMUSG00000026238.15,15171,12374,16787,15814,12861,16721
ENSMUSG00000026239.15,223,237,334,294,283,263
ENSMUSG00000026240.13,829,715,999,728,889,837
ENSMUSG00000053333.16,158,152,213,139,169,181
ENSMUSG00000084106.5,12,7,20,14,15,20
ENSMUSG00000026247.14,22,14,29,11,12,21
ENSMUSG00000026254.18,4210,3539,5092,4310,4461,4769
ENSMUSG00000026255.16,47,40,49,33,29,44
