"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000012296.17",120.723584100545,-0.158864701504982,0.187381530826674,-0.847814087141438,0.396541516480773,0.999904447272451
"ENSMUSG00000047428.15",20.4142945799086,0.324327663332333,0.440070837680674,0.736989674302556,0.461128628697957,0.999904447272451
"ENSMUSG00000032842.14",88.8604609427884,0.0492694117056962,0.216386199050579,0.227692024361405,0.819885673233921,0.999904447272451
"ENSMUSG00000015597.18",97.3233910326353,0.0531704897880829,0.222944328638319,0.238492228588335,0.811499342176329,0.999904447272451
"ENSMUSG00000091742.3",56.9350212658153,0.0958741592783731,0.254717272773259,0.376394416580132,0.706623696264447,0.999904447272451
"ENSMUSG00000015599.10",17.925254697907,1.04873420656914,0.454237777558286,2.30877804177036,0.0209559011151567,0.458518580184936
"ENSMUSG00000040327.17",88.5865041030974,0.127735584494656,0.207717019246525,0.614950016893201,0.538587729965395,0.999904447272451
"ENSMUSG00000015605.7",2578.82374042865,0.0128679727789384,0.0939296710983129,0.136995824945133,0.891034095208737,0.999904447272451
"ENSMUSG00000023972.11",762.35531631267,-0.141918988392174,0.108568678488114,-1.30718168783561,0.191151013242479,0.981844106034026
"ENSMUSG00000003546.11",8.52286103842099,-0.0743261143634079,0.627226358864667,-0.118499666528595,0.905671759306748,0.999904447272451
"ENSMUSG00000002767.14",25.8498014658582,0.126247325275145,0.387259574092773,0.326001818214314,0.74442297948034,0.999904447272451
"ENSMUSG00000038545.14",34.5664066375606,-0.347154869027691,0.329770717786305,-1.05271587288915,0.292471231628098,0.999904447272451
"ENSMUSG00000063576.13",1435.0427196749,-0.0532699137842227,0.120832889640825,-0.440856077700098,0.65931719296259,0.999904447272451
"ENSMUSG00000002768.9",648.308433133502,0.354282014601227,0.135241023510336,2.61963423083787,0.00880241230078084,0.278261332135132
"ENSMUSG00000059409.10",1417.74733972606,0.0894868704347848,0.0998503594059966,0.896209798013112,0.370140723686906,0.999904447272451
"ENSMUSG00000002763.17",52.0476880133532,0.00539551361806888,0.264386139632741,0.0204077022553595,0.983718139619596,0.999904447272451
"ENSMUSG00000023973.14",743.809121757805,0.0579739988915117,0.113016614731134,0.51296881462457,0.607973135334529,0.999904447272451
"ENSMUSG00000063888.8",103.354862873247,-0.204499699396936,0.204292688583718,-1.00101330505097,0.316820376000613,0.999904447272451
"ENSMUSG00000036568.8",69.3242211348656,-0.235596879957631,0.243550688061034,-0.967342288511991,0.333372950013187,0.999904447272451
"ENSMUSG00000023977.16",189.723785747545,0.110382481024836,0.164190440822342,0.672283236904596,0.501403399384318,0.999904447272451
"ENSMUSG00000064043.16",157.652765798257,-0.139738970806554,0.173874946579725,-0.803675132935156,0.42158461914971,0.999904447272451
"ENSMUSG00000096361.3",4.90799031743629,-0.346435283508267,0.851051396647588,-0.407067404945136,0.683958482445073,NA
"ENSMUSG00000023980.8",145.598662304077,0.00834577440133872,0.18906370829245,0.0441426568679654,0.964790690641771,0.999904447272451
"ENSMUSG00000034165.17",65.0173697783138,-0.0648788005856188,0.268680029577526,-0.241472359101771,0.809189036960312,0.999904447272451
"ENSMUSG00000023988.9",141.667098192979,-0.0310654011738202,0.176889466104478,-0.175620413459057,0.860592163987955,0.999904447272451
"ENSMUSG00000092558.4",70.9633123256454,-0.00505213586904929,0.247571889400967,-0.0204067427900381,0.983718905002772,0.999904447272451
"ENSMUSG00000023266.12",6.25384657912235,0.473368924648944,0.747230152535691,0.633498157217811,0.526408383861345,NA
"ENSMUSG00000023990.19",7.40369450513898,0.09295250487258,0.714833702646752,0.130033747049717,0.896539727067722,NA
"ENSMUSG00000032717.15",32.1419901045511,-0.319916244410041,0.389606132658889,-0.821127332433795,0.411573742794852,0.999904447272451
"ENSMUSG00000023991.17",1121.09521423319,0.133638841948652,0.116270996488186,1.14937384201597,0.250401861411003,0.999904447272451
"ENSMUSG00000117308.2",60.2787539615391,-0.220215139626717,0.26915030887497,-0.818186464459958,0.413250722834723,0.999904447272451
"ENSMUSG00000023994.14",517.288287412108,0.149472346198185,0.126452354296766,1.18204478698272,0.237187930394933,0.999904447272451
"ENSMUSG00000040771.15",204.831000167193,0.189580433638617,0.155706249616764,1.21755185874187,0.223394318127128,0.999904447272451
"ENSMUSG00000040694.5",5.04721247698934,1.77958602876965,0.883151361835994,2.01504080237169,0.0439003740276675,NA
"ENSMUSG00000040490.5",7.34135415769292,0.465690911561347,0.704729431048918,0.660808093211338,0.508735391940307,NA
"ENSMUSG00000064120.15",31.2294732037745,0.22218627047246,0.336603224215482,0.660083607310381,0.509200177703755,0.999904447272451
"ENSMUSG00000040260.9",11.236651135679,0.234341688846451,0.558264629719347,0.419768110625708,0.674654863009746,0.999904447272451
"ENSMUSG00000117077.2",13.8463263414274,-0.024469364036282,0.498245354782945,-0.0491110730915732,0.960830779006009,0.999904447272451
"ENSMUSG00000038910.8",316.662094816693,-0.0158774370267227,0.140657753628476,-0.112879927463226,0.910125750170944,0.999904447272451
"ENSMUSG00000044645.9",343.486738474699,-0.141399149875783,0.130436293544018,-1.08404759161656,0.278343698029204,0.999904447272451
"ENSMUSG00000023923.11",225.014956219661,0.0960237359448832,0.170619837625431,0.562793502099612,0.573575505529151,0.999904447272451
"ENSMUSG00000023927.16",721.823585255082,0.0761925391099472,0.111133595195451,0.685594117385898,0.492969092119822,0.999904447272451
"ENSMUSG00000035580.11",14.5612032761586,0.167989077375612,0.489154933012136,0.343427135327375,0.731277148431772,0.999904447272451
"ENSMUSG00000117244.2",13.060467003325,0.0827652742747101,0.530159848296982,0.156113810845115,0.87594331235707,0.999904447272451
"ENSMUSG00000117248.2",862.371259323001,-0.171490260452045,0.110722653026879,-1.54882723421028,0.121423256835341,0.891449192516652
"ENSMUSG00000117241.2",4.16019160793657,0.172316133938396,0.903030254046908,0.190819890215378,0.848666704877746,NA
"ENSMUSG00000017831.9",710.115535443228,0.127703018572478,0.115236684303496,1.10818025826003,0.267783974969942,0.999904447272451
"ENSMUSG00000000708.15",15.8098483193694,-0.0289575093387382,0.484036407986828,-0.0598250645218535,0.952294962724437,0.999904447272451
"ENSMUSG00000106327.2",22.741095579996,-0.566855646424209,0.400290604162757,-1.41611029719231,0.15674321370542,0.938280699746703
"ENSMUSG00000117006.2",35.0299578240378,-0.480570515568428,0.322974857072791,-1.4879502383683,0.136764017308086,0.919575202090559
"ENSMUSG00000090790.3",46.5061432060007,0.250115622830882,0.280766149264803,0.890832543331235,0.373019013563641,0.999904447272451
"ENSMUSG00000003208.10",23.3723598438904,0.0142465161491676,0.389105234881469,0.0366135298938023,0.970793155469007,0.999904447272451
"ENSMUSG00000011589.10",6.83542213628572,0.867803296967861,0.74583004053869,1.16354028371004,0.24461036383898,NA
"ENSMUSG00000003199.17",12.3827791473743,-0.164677101186889,0.565447773697008,-0.291233087912254,0.770873058302979,0.999904447272451
