gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000101111.2,0,0,0,0,0,0
ENSMUSG00000100862.2,0,0,0,0,0,0
ENSMUSG00000102070.2,0,0,0,0,0,0
ENSMUSG00000101249.2,0,0,0,0,0,0
ENSMUSG00000073725.9,56,42,48,83,53,57
ENSMUSG00000100808.2,0,0,0,0,0,0
ENSMUSG00000100483.2,0,0,0,0,0,0
ENSMUSG00000100450.2,0,0,0,0,0,0
ENSMUSG00000099392.2,0,0,0,0,0,0
ENSMUSG00000033569.18,13,10,19,11,6,6
ENSMUSG00000080849.2,0,0,0,0,0,0
ENSMUSG00000104257.2,0,0,0,0,0,0
ENSMUSG00000119153.1,0,0,0,0,0,0
ENSMUSG00000102296.2,0,0,0,0,0,0
ENSMUSG00000103209.2,0,0,0,0,0,0
ENSMUSG00000104027.2,0,0,0,0,0,0
ENSMUSG00000102407.2,0,0,0,0,0,0
ENSMUSG00000103214.2,0,0,0,0,0,0
ENSMUSG00000104100.2,0,0,0,0,0,0
ENSMUSG00000084740.3,0,0,0,0,0,0
ENSMUSG00000103889.2,0,0,0,0,0,0
ENSMUSG00000101301.2,0,0,0,0,0,0
ENSMUSG00000104221.2,0,0,0,0,0,0
ENSMUSG00000102250.2,0,0,0,0,0,0
ENSMUSG00000102317.2,0,0,0,0,0,0
ENSMUSG00000103563.2,0,0,0,0,0,0
ENSMUSG00000102465.2,0,0,0,0,0,0
ENSMUSG00000102659.2,0,0,0,0,0,0
ENSMUSG00000103924.2,0,0,0,0,0,0
ENSMUSG00000104132.2,0,0,0,0,0,0
ENSMUSG00000102747.2,0,0,0,0,0,0
ENSMUSG00000102386.2,0,0,0,0,0,0
ENSMUSG00000103004.2,0,0,0,0,0,0
ENSMUSG00000104516.2,0,0,0,0,0,0
ENSMUSG00000101618.2,0,0,0,0,0,0
ENSMUSG00000099458.2,0,0,0,0,0,0
ENSMUSG00000088111.3,0,0,0,0,0,0
ENSMUSG00000073722.4,0,0,0,0,0,0
ENSMUSG00000119695.1,0,0,0,0,0,0
ENSMUSG00000100310.2,0,0,0,0,0,0
ENSMUSG00000101514.3,0,0,0,0,0,0
ENSMUSG00000101033.2,0,0,0,0,0,0
ENSMUSG00000101372.2,20,25,24,31,38,44
ENSMUSG00000103241.2,0,0,0,0,0,0
ENSMUSG00000086240.5,71,63,70,69,86,96
ENSMUSG00000048411.5,0,0,0,0,0,0
ENSMUSG00000081557.3,0,0,0,0,0,0
ENSMUSG00000058590.3,18,11,14,6,19,21
ENSMUSG00000101235.2,0,0,0,0,0,0
ENSMUSG00002075209.1,0,0,0,0,0,0
ENSMUSG00002076857.1,0,0,0,0,0,0
ENSMUSG00002074912.1,0,0,0,0,0,0
ENSMUSG00000099257.3,0,0,0,0,0,0
ENSMUSG00000099492.2,4418,3462,5203,4334,4484,6164
ENSMUSG00000118548.2,0,0,0,0,0,0
ENSMUSG00000101726.2,0,0,0,0,0,0
ENSMUSG00002075317.1,0,0,0,0,0,0
ENSMUSG00002075289.1,0,0,0,0,0,0
ENSMUSG00000053185.3,0,0,0,0,0,0
ENSMUSG00000100261.2,0,1,0,0,0,1
ENSMUSG00000101180.2,0,0,0,0,0,0
ENSMUSG00000048874.16,667,542,726,682,680,528
ENSMUSG00000103783.2,0,0,0,0,0,0
ENSMUSG00000104315.2,0,0,0,0,0,0
ENSMUSG00000026064.17,0,0,0,0,0,0
ENSMUSG00000117310.3,4,1,1,1,2,4
ENSMUSG00000117091.2,0,0,0,0,0,0
ENSMUSG00000086726.4,0,0,0,0,0,0
ENSMUSG00000086727.10,0,0,0,0,0,0
ENSMUSG00000100237.2,0,0,0,0,0,0
ENSMUSG00002076113.1,0,0,0,0,0,0
ENSMUSG00000100910.2,0,0,0,0,0,0
ENSMUSG00000099796.2,0,0,0,0,0,0
ENSMUSG00000050217.14,0,0,0,0,0,0
ENSMUSG00000026063.5,0,0,0,0,0,0
ENSMUSG00000077664.3,0,0,0,0,0,0
ENSMUSG00000100205.2,0,0,0,0,0,0
ENSMUSG00000100592.2,0,0,0,0,0,0
ENSMUSG00000094215.4,0,0,0,0,0,0
ENSMUSG00000101093.2,0,0,0,0,0,0
ENSMUSG00000070960.5,0,0,0,0,0,0
ENSMUSG00000088620.3,0,0,0,0,0,0
ENSMUSG00000082159.3,1,0,0,1,0,0
ENSMUSG00000026058.12,242,183,230,245,288,237
ENSMUSG00000064688.3,0,0,0,0,0,0
ENSMUSG00000103482.2,0,0,0,0,0,0
ENSMUSG00000104498.2,0,0,0,0,0,0
ENSMUSG00000104313.2,0,0,0,0,0,0
ENSMUSG00000102865.2,0,0,0,0,0,0
ENSMUSG00000102321.2,0,0,0,0,0,0
ENSMUSG00000091318.3,0,0,0,0,0,0
ENSMUSG00000089489.3,0,0,0,0,0,0
ENSMUSG00000104433.2,0,0,0,0,0,0
ENSMUSG00002076392.1,0,0,0,0,0,0
ENSMUSG00000102926.2,0,0,0,0,0,0
ENSMUSG00000100497.2,0,0,0,0,0,0
ENSMUSG00000102917.2,0,0,0,0,0,0
ENSMUSG00000100481.2,29,35,51,37,45,34
ENSMUSG00000100590.2,10,9,12,15,10,7
ENSMUSG00000088750.3,0,0,0,0,0,0
ENSMUSG00000104230.2,0,0,0,0,0,0
ENSMUSG00000101754.3,0,0,0,0,0,0
ENSMUSG00000065223.4,0,0,0,0,0,0
ENSMUSG00000100318.3,0,0,0,0,0,0
ENSMUSG00000101612.3,0,0,0,0,0,0
ENSMUSG00000065260.3,0,0,0,0,0,0
ENSMUSG00000026134.12,37,26,30,21,21,31
ENSMUSG00000101682.2,2,2,0,3,1,0
ENSMUSG00000102714.2,0,0,0,0,0,0
